Hol_date, days_to_be_subtracted
2017-04-14,1
2017-04-17,4
2017-05-01,3
2017-06-05,3
2017-10-03,1
2017-10-31,1
2017-12-25,3
2017-12-26,4
2016-01-01,1
2016-03-25,1
2016-03-28,4
2016-12-26,3
2016-05-16,3
2016-10-03,3
2015-01-01,1
2015-04-03,1
2015-04-06,4
2015-05-01,1
2015-12-25,1
2014-01-01,1
2014-04-18,1
2014-04-21,4
2014-05-01,1
2014-10-03,1
2014-12-25,1
2014-12-26,2
2013-01-01,1
2013-03-29,1
2013-04-01,4
2013-05-01,1
2013-12-25,1
2013-12-26,2
2012-04-06,1
2012-04-09,4
2012-05-01,1
2012-12-25,1
2012-12-26,2
2011-04-22,1
2011-04-25,4
2011-12-26,3
2010-01-01,1
2010-04-02,1
2010-04-05,4
2009-01-01,1
2009-04-10,1
2009-04-13,4
2009-05-01,1
2009-12-25,1
2008-01-01,1
2008-03-21,1
2008-03-24,4
2008-05-01,1
2008-12-25,1
2008-12-26,2
2007-01-01,3
2007-04-06,1
2007-04-09,4
2007-05-01,1
2007-12-24,3
2007-12-25,4
2007-12-26,5
2007-12-31,3
2006-04-14,1
2006-04-17,4
2006-05-01,3
2006-12-25,3
2006-12-26,4
2005-03-25,1
2005-03-28,4
2005-12-26,3
2004-01-01,1
2004-04-09,1
2004-04-12,4
2004-12-24,1
2004-12-31,1
2003-01-01,1
2003-01-18,1
2003-01-21,4
2003-05-01,1
2003-12-24,1
2003-12-25,2
2003-12-26,3
2003-12-31,1
